timestamp,message
1666232583053,"1666232583053606,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,9,19525,QUERY,,'SELECT VARIABLE_NAME, VARIABLE_VALUE FROM INFORMATION_SCHEMA.GLOBAL_STATUS WHERE VARIABLE_NAME IN ( \'COM_DROP_TRIGGER\', \'COM_DROP_TABLE\', \'AURORADB_SELECT_STMT_DURATION\', \'COM_SELECT\', \'AURORA_LOCKMGR_MEMORY_USED\', \'COM_CREATE_UDF\', \'COM_DROP_FUNCTION\', \'COM_ALTER_EVENT\', \'COM_CREATE_INDEX\', \'COM_CREATE_PROCEDURE\', \'HANDLER_UPDATE\', \'COM_ALTER_TABLE\', \'HANDLER_WRITE\', \'COM_DELETE_MULTI\', \'AURORADB_DELETE_STMT_DURATION\', \'COM_TRUNCATE\', \'COM_ALTER_SERVER\', \'COM_DROP_PROCEDURE\', \'COM_CREATE_TABLE\', \'COM_CREATE_DB\', \'COUNT|COM_INSERT|COM_INSERT_SELECT\', \'HANDLER_DELETE\', \'QCACHE_HITS\', \'COM_CREATE_EVENT\', \'COM_DELETE\', \'COM_CREATE_FUNCTION\', \'COM_ALTER_SYSTEM\', \'AURORADB_COMMIT_LATENCY\', \'COM_UPDATE_MULTI\', \'COUNT|COM_UPDATE|COM_UPDATE_MULTI\', \'AURORADB_INSERT_STMT_DURATION\', \'COM_ALTER_TABLESPACE\', \'COM_DROP_DB\', \'COM_DROP_SERVER\', \'COM_INSERT\', \'AURORADB_DDL_STMT_DURATION\', \'AURORA_ROLLBACK_SEGMENT_HISTORY_LENGTH\', \'AURORADB_UPDATE_STMT_DURATION\', \'COM_ALTER_DB\', \'COM_ALTER_PROCEDURE\', \'COM_ALTER_DB_UPGRADE\', \'COM_INSERT_SELECT\', \'COM_CREATE_SERVER\', \'COM_CREATE_TRIGGER\', \'COUNT|COM_DELETE|COM_DELETE_MULTI|COM_TRUNCATE\', \'AURORADB_COMMITS\', \'COM_DROP_INDEX\', \'COM_UPDATE\', \'COM_ALTER_FUNCTION\', \'COM_CREATE_VIEW\', \'COM_DROP_EVENT\', \'COM_DROP_VIEW\')',0"
1666232583087,"1666232583087194,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,9,19526,QUERY,,'SELECT VARIABLE_NAME, VARIABLE_VALUE FROM INFORMATION_SCHEMA.GLOBAL_STATUS WHERE VARIABLE_NAME IN ( \'ABORTED_CONNECTS\', \'QUERIES\', \'THREADS_CONNECTED\')',0"
1666232583164,"1666232583164601,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,9,19529,QUERY,,'select name, value, visibility from information_schema.rds_metrics_gauge inner join information_schema.rds_metrics_meta on rds_metrics_meta.id = rds_metrics_gauge.metric_id',0"
1666232583190,"1666232583190027,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,9,19530,QUERY,,'SELECT NAME, COUNT FROM INFORMATION_SCHEMA.INNODB_METRICS WHERE NAME IN (\'LOCK_DEADLOCKS\', \'LOCK_ROW_LOCK_CURRENT_WAITS\', \'TRX_ACTIVE_TRANSACTIONS\')',0"
1666232583225,"1666232583225301,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,9,19531,QUERY,,'SELECT REPLICA_LAG_IN_MSEC FROM mysql.ro_replica_status WHERE SERVER_ID = \'rdscluster-instance-1-ap-southeast-2c\'',0"
1666232583365,"1666232583365644,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19534,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232584016,"1666232584016856,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19536,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232584210,"1666232584210254,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19539,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232584232,"1666232584232858,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,8,19541,QUERY,,'SELECT SQL_NO_CACHE value FROM mysql.rds_heartbeat2',0"
1666232584343,"1666232584343111,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19544,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232585144,"1666232585144826,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19546,QUERY,,'SELECT 1',0"
1666232585363,"1666232585363274,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19549,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232586041,"1666232586041647,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19551,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232586242,"1666232586242336,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19554,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232586261,"1666232586261431,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,8,19556,QUERY,,'SELECT SQL_NO_CACHE value FROM mysql.rds_heartbeat2',0"
1666232586370,"1666232586370881,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19559,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232588356,"1666232588356748,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,19572,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232590021,"1666232590021415,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19577,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232590213,"1666232590213788,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,19580,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
